ID,Food_Level,Concentration,InfectionStatus
ML4,Low,190.187,1
ML17,Low,0,0
ML20,Low,1.428,1
MM1,Medium,0,0
MM29,Medium,0,0
MM44,Medium,101.687,1
MH7,High,2897.487,1
MH26,High,1718.687,1
MH36,High,1077.287,1
MH15,High,2779.787,1
ML5,Low,0.002,1
ML22,Low,0,0
ML25,Low,0,0
MM2,Medium,0,0
MM39,Medium,0,0
MM46,Medium,0,0
MH8,High,824.387,1
MH27,High,1802.587,1
MH41,High,4162.187,1
MH16,High,2250.587,1
ML6,Low,116.487,1
ML31,Low,0,0
ML30,Low,0,0
MM5,Medium,28.277,1
MM47,Medium,89.487,1
MM49,Medium,7.478,1
MH9,High,2238.487,1
MH28,High,937.787,1
MH43,High,2403.287,1
MH19,High,0,0
ML7,Low,0.01,1
ML34,Low,0,0
MM6,Medium,0,0
MM48,Medium,0,0
MH1,High,3574.187,1
MH10,High,1514.587,1
MH29,High,0,0
MH46,High,2377.587,1
MH20,High,495.787,1
ML9,Low,0.357,1
ML37,Low,0,0
MM10,Medium,68.367,1
MM11,Medium,0.712,1
MH2,High,1618.887,1
MH11,High,5280.087,1
MH30,High,582.387,1
MH48,High,0,0
MH21,High,3101.887,1
ML10,Low,0.36,1
ML38,Low,0,0
MM12,Medium,0,0
MM27,Medium,14.267,1
MH3,High,971.587,1
MH12,High,1.068,1
MH31,High,0,0
MH49,High,3619.287,1
MH22,High,0,0
ML14,Low,0,0
ML40,Low,0,0
ML46,Low,0,0
MM13,Medium,11.817,1
MM30,Medium,12.547,1
MH4,High,850.787,1
MH13,High,859.587,1
MH32,High,2612.987,1
MH23,High,1270.087,1
ML16,Low,0,0
ML50,Low,0,0
MM19,Medium,0,0
MM33,Medium,1.068,1
MH6,High,2200.887,1
MH14,High,2580.587,1
MH33,High,399.287,1
MH24,High,0,0